index,house_type_id,is_renewal_needed,is_new_development,sq_mt_built,n_rooms,n_bathrooms,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,latitude,longitude,floor_1,floor_2,floor_3,floor_4,floor_5,floor_6,floor_7,floor_8,floor_9,floor_Bajo,floor_Entreplanta exterior,floor_Entreplanta interior,floor_Semi-sótano exterior,floor_Semi-sótano interior,floor_Sótano exterior,floor_Sótano interior,buy_price
33,2,0,0,83.0,2,2.0,1,1,1,1,1,0,1,40.3399339,-3.6733878585167616,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,228273
34,0,1,0,45.0,2,1.0,1,0,0,0,0,1,0,40.3558406,-3.6883988896386386,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85000
35,0,0,0,74.0,3,1.0,1,0,0,1,0,0,0,40.3551089,-3.7001047141537535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139000
36,1,0,0,125.0,3,2.0,1,1,0,1,1,0,1,40.3399339,-3.6733878585167616,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,272500
37,0,0,0,126.0,4,2.0,1,1,1,1,1,0,1,40.3399339,-3.6733878585167616,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,275000
38,2,0,0,158.0,3,2.0,1,1,1,1,1,0,1,40.3399339,-3.6733878585167616,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,289000
39,0,0,0,108.0,3,2.0,1,1,0,0,1,0,0,40.3551089,-3.7001047141537535,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,179000
40,0,0,0,62.0,2,1.0,1,1,0,0,0,0,0,40.345538899999994,-3.7109697,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,123000
41,0,1,0,51.0,2,1.0,1,0,0,0,1,0,0,40.3558406,-3.6883988896386386,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89500
42,0,0,0,112.0,3,2.0,1,1,1,1,0,0,1,40.3399339,-3.6733878585167616,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,289000
