,house_type_id,is_renewal_needed,is_new_development,m2,n_rooms,n_bathrooms,floor,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,latitude,longitude,buy_price
10360,0,1,0,94.0,3,2.0,0.0,1,1,0,0,0,0,0,40.45087879999999,-3.655924108363301,255000
10361,0,0,0,158.0,4,3.0,1.0,1,1,1,1,0,0,1,40.47538345,-3.669831997592169,800000
10362,0,0,0,60.0,2,1.0,3.0,1,0,0,0,1,0,0,40.4426834,-3.6534541,200000
10368,0,0,0,112.0,3,1.0,4.0,1,0,1,1,1,1,0,40.4220402,-3.6517069,257000
10370,0,1,0,52.0,2,1.0,1.0,1,0,0,0,0,0,0,40.43737280000001,-3.6436099185322814,179000
10371,0,0,0,34.0,1,1.0,0.0,1,0,0,0,0,0,0,40.4426834,-3.6534541,115000
10372,0,0,0,42.0,2,1.0,0.0,0,0,0,0,0,0,0,40.4350329,-3.644171,115000
10373,0,0,0,60.0,2,1.0,-2.0,0,0,0,0,0,0,0,40.43737280000001,-3.6436099185322814,115000
10374,0,1,0,75.0,4,1.0,0.5,1,0,0,0,1,0,0,40.4220402,-3.6517069,158000
10375,0,0,0,55.0,2,2.0,0.5,1,0,1,0,0,0,0,40.4350329,-3.644171,139000
10377,0,0,0,54.0,1,1.0,2.0,1,1,0,0,0,0,1,40.47538345,-3.669831997592169,300000
10378,0,1,0,137.0,4,3.0,3.0,1,1,1,0,1,1,1,40.45824765,-3.6597056668499386,560000
10379,0,0,0,55.0,1,1.0,2.0,1,1,0,0,0,0,0,40.43737280000001,-3.6436099185322814,230000
10380,0,0,0,65.0,2,1.0,3.0,1,0,0,0,1,0,0,40.4220402,-3.6517069,175000
10381,0,1,0,52.0,2,1.0,1.0,1,0,0,0,1,0,0,40.4220402,-3.6517069,126000
10382,0,1,0,159.0,3,2.0,1.0,1,1,1,0,0,0,1,40.46380445,-3.664578847937272,650000
10383,0,0,0,60.0,1,1.0,1.0,1,1,0,0,1,1,0,40.4220402,-3.6517069,195000
10385,0,0,0,77.0,2,1.0,2.0,1,1,0,1,1,0,0,40.43820570000001,-3.6495784,225000
10386,0,0,0,90.0,3,2.0,0.0,1,1,1,0,1,0,0,40.4220402,-3.6517069,269000
10387,0,0,0,62.0,2,1.0,0.0,1,1,0,0,0,0,1,40.45824765,-3.6597056668499386,260000
10388,0,0,0,225.0,5,3.0,2.0,1,1,1,1,1,0,0,40.46380445,-3.664578847937272,950000
10391,1,0,0,140.0,2,2.0,6.0,1,1,1,1,1,0,1,40.47538345,-3.669831997592169,420000
10392,0,0,0,62.0,2,1.0,5.0,1,0,0,0,0,0,0,40.4220402,-3.6517069,130000
10393,0,0,0,100.0,2,2.0,7.0,1,1,1,0,0,0,1,40.47538345,-3.669831997592169,620000
10394,0,0,0,85.0,3,2.0,2.0,1,1,1,1,1,0,0,40.4350329,-3.644171,295000
10395,0,1,0,64.0,2,1.0,7.0,1,1,0,0,0,0,0,40.4426834,-3.6534541,215000
10396,0,0,0,45.0,1,1.0,0.0,1,0,0,0,0,0,0,40.4350329,-3.644171,119000
10398,0,1,0,54.0,3,1.0,2.0,1,0,0,0,0,0,0,40.4350329,-3.644171,146000
10399,1,0,0,96.0,2,2.0,2.0,1,1,0,0,0,0,0,40.43737280000001,-3.6436099185322814,270000
10400,0,1,0,75.0,3,1.0,5.0,1,1,0,0,0,0,0,40.4220402,-3.6517069,205000
10401,0,1,0,100.0,3,2.0,3.0,1,1,0,0,1,1,0,40.43820570000001,-3.6495784,298000
10402,0,0,0,90.0,3,2.0,3.0,1,0,0,0,1,0,0,40.4350329,-3.644171,250000
10404,0,0,0,140.0,3,3.0,1.0,1,1,1,1,0,0,1,40.47538345,-3.669831997592169,560000
10405,0,0,0,95.0,3,2.0,8.0,1,1,0,1,1,0,0,40.4350329,-3.644171,295000
10406,0,1,0,107.0,3,1.0,2.0,1,1,0,0,1,0,0,40.43820570000001,-3.6495784,255000
10408,0,0,0,87.0,3,1.0,4.0,1,1,0,0,1,0,0,40.43820570000001,-3.6495784,310000
10409,0,0,0,83.0,3,1.0,3.0,1,0,0,0,1,0,0,40.4350329,-3.644171,179000
10411,0,0,0,90.0,3,1.0,1.0,1,1,0,0,0,0,0,40.4426834,-3.6534541,250000
10412,0,0,0,60.0,2,1.0,0.0,1,1,0,0,0,0,0,40.4350329,-3.644171,135000
10414,0,0,0,81.0,3,1.0,0.5,1,0,1,1,1,0,0,40.4220402,-3.6517069,240000
10415,0,0,0,46.0,2,1.0,0.0,1,0,0,0,0,0,0,40.43737280000001,-3.6436099185322814,190000
10416,0,0,0,60.0,2,1.0,5.0,1,0,0,0,0,0,0,40.4220402,-3.6517069,145000
10417,0,0,0,90.0,4,2.0,4.0,1,0,0,0,0,0,0,40.4350329,-3.644171,160000
10418,0,0,0,96.0,3,2.0,8.0,1,1,0,1,1,0,0,40.4350329,-3.644171,295000
